min_support,min_confidence,class_weights,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,f_score_mean,f_score_std,auc_mean,auc_std,n_rules_mean,n_rules_std
0.001,0.3,inverse,0.12616350814548605,0.012476318121814102,0.4746434792553223,0.031219450336269907,0.5561607834558616,0.010960655354840029,0.2898803461133137,0.015971872916198355,0.7808283071801373,0.009041808758094972,1604.6666666666667,73.15964279118191
0.001,0.3,prior,0.7027949450998948,0.003750956964305994,0.2905772317482503,0.010898069476483325,0.6203044023849295,0.0646221975509156,0.31309957590841486,0.011432871568700896,0.8882549498508081,0.0017925471047118028,1604.6666666666667,73.15964279118191
0.001,0.3,uniform,0.8128962946936459,0.012822991470032434,0.6823468519143141,0.01343520581077218,0.743864502197976,0.007140142647756197,0.6814236033931547,0.0056112847656119656,0.9389599874836438,0.005394240195911361,1604.6666666666667,73.15964279118191
0.001,0.4,inverse,0.17521538061769878,0.012765133654559065,0.5194411381941219,0.028311971845465994,0.5550626852917547,0.020552641601117125,0.3196298992765859,0.012463095613654034,0.7977520256269166,0.006061465335884935,1449.6666666666667,77.98290410938371
0.001,0.4,prior,0.7232511490223573,0.010401198728698727,0.3126846123189206,0.015404470986626378,0.676067003542463,0.006918802017794871,0.34735589362963704,0.016436089770361477,0.8955490475246407,0.0007921077728792783,1449.6666666666667,77.98290410938371
0.001,0.4,uniform,0.8043279681552139,0.015615197775719849,0.7135792708863793,0.014116244620139539,0.7119738303384043,0.012504915947099208,0.6745452585436468,0.01652183155166773,0.9326237446615987,0.005727370173002265,1449.6666666666667,77.98290410938371
0.001,0.5,inverse,0.1934231218229329,0.007198004157296024,0.5497313989557785,0.020147430803776577,0.5387378856474967,0.012124685589951903,0.3381903267906861,0.012978968716217999,0.8477355366697147,0.006203537712540618,1229.3333333333333,81.54344445345274
0.001,0.5,prior,0.7643782974952869,0.002574600876210727,0.36038950201281583,0.009430737712105215,0.7237450675184075,0.02988502260453692,0.413918164976611,0.008413263404736372,0.9153947149861654,0.003917561545278634,1229.3333333333333,81.54344445345274
0.001,0.5,uniform,0.7882643300574119,0.021211474943461928,0.7430147406508293,0.012918993603297336,0.7186189928816308,0.018261924256876522,0.6885540870745849,0.013040198524890452,0.9360073534158656,0.005210804851978424,1229.3333333333333,81.54344445345274
0.001,0.6,inverse,0.23754831234029505,0.012632559205381852,0.5727684846593083,0.019886129618248396,0.5562994640958987,0.011192327284376802,0.38484640316026675,0.016981500978782992,0.8615929331689426,0.0027980192608422516,1002.0,75.02666192761077
0.001,0.6,prior,0.7928658215499532,0.011059342385120869,0.424153693605326,0.02718796105405601,0.8406266713506257,0.043620447436327314,0.492740492020112,0.02643448458391194,0.919336528696209,0.006376892935818248,1002.0,75.02666192761077
0.001,0.6,uniform,0.7568857041717143,0.04413583979684944,0.7193100627893193,0.004778452955690382,0.7080374684322558,0.007414227222723929,0.6642101217643226,0.0030366979724586753,0.9319193518885213,0.005501229607800411,1002.0,75.02666192761077
0.001,0.7,inverse,0.3539678053528463,0.00605789515853723,0.6208970689541118,0.01248983829931191,0.561592958233227,0.011579201172828003,0.452328832799801,0.006935583777715785,0.879651960001631,0.0067294640584732125,838.0,80.01874780324921
